accession_numbers,Substrate_ACC,Gene Names,Substrate_GN
NP_062615,P54227,Stmn1 Lag Lap18 Pr22,Stmn1
NP_001931,P54259,ATN1 D12S755E DRPLA,ATN1
NP_000526,P54278,PMS2 PMSL2,PMS2
NP_032912,P54279,Pms2,Pms2
NP_003671,P54577,YARS1 YARS,YARS1
NP_005142,P54578,USP14 TGT,USP14
NP_068814,P54652,HSPA2,HSPA2
NP_005044,P54725,RAD23A,RAD23A
NP_002865,P54727,RAD23B,RAD23B
NP_033037,P54728,Rad23b Mhr23b,Rad23b
NP_001616,P54819,AK2 ADK2,AK2
NP_033764,P54822,Adsl Adl,Adsl
NP_005509,P54868,HMGCS2,HMGCS2
NP_032282,P54869,Hmgcs2,Hmgcs2
NP_002851,P54886,ALDH18A1 GSAS P5CS PYCS,ALDH18A1
NP_002801,P55036,PSMD4 MCB1,PSMD4
NP_001307,P55060,CSE1L CAS XPO2,CSE1L
NP_005917,P55081,MFAP1,MFAP1
NP_000174,P55084,HADHB MSTP029,HADHB
NP_001182555,P55197,MLLT10 AF10,MLLT10
NP_005928,P55198,MLLT6 AF17,MLLT6
NP_001074518,P55200,Kmt2a All1 Hrx Mll Mll1,Kmt2a
NP_075615,P55258,Rab8a Mel Rab8,Rab8a
NP_006712,P55263,ADK,ADK
NP_001102,P55265,ADAR ADAR1 DSRAD G1P1 IFI4,ADAR
NP_004487,P55317,FOXA1 HNF3A TCF3A,FOXA1
NP_001020423,P55327,TPD52,TPD52
NP_001003796,P55769,SNU13 NHP2L1,SNU13
NP_006301,P55786,NPEPPS PSA,NPEPPS
NP_079561,P55821,Stmn2 Scg10 Scgn10 Stmb2,Stmn2
NP_008867,P55854,SUMO3 SMT3A SMT3H1,SUMO3
NP_003742,P55884,EIF3B EIF3S9,EIF3B
NP_006619,P56211,ARPP19,ARPP19
NP_067523,P56212,Arpp19,Arpp19
NP_008817,P56381,ATP5F1E ATP5E,ATP5F1E
NP_001017429,P56394,Cox17 Cox17a,Cox17
NP_038728,P56399,Usp5 Isot,Usp5
NP_058054,P56480,Atp5f1b Atp5b,Atp5f1b
NP_001320,P56545,CTBP2,CTBP2
NP_034110,P56546,Ctbp2,Ctbp2
NP_008872,P56693,SOX10,SOX10
NP_631888,P56959,Fus,Fus
NP_055402,P57073,SOX8,SOX8
NP_068695,P57780,Actn4,Actn4
NP_067311,P57784,Snrpa1,Snrpa1
NP_031933,P58252,Eef2,Eef2
NP_996993,P58283,Rnf216 Triad3 Ubce7ip1 Uip83 Zin,Rnf216
NP_291085,P58321,Uchl4,Uchl4
NP_620087,P58389,Ptpa Ppp2r4,Ptpa
NP_080386,P58501,Paxbp1 Gcfc Gcfc1,Paxbp1
NP_478062,P58511,SMIM11 C21orf51 FAM165B SMIM11A,SMIM11
NP_665807,P58546,MTPN,MTPN
NP_077745,P58771,Tpm1 Tpm-1 Tpma,Tpm1
NP_033442,P58774,Tpm2 Tpm-2,Tpm2
NP_066407,P58876,H2BC5 H2BFB HIRIP2 HIST1H2BD,H2BC5
NP_776245,P59282,TPPP2 C14orf8,TPPP2
NP_803180,P59511,Adamts20,Adamts20
NP_079599,P59708,Sf3b6 Sf3b14,Sf3b6
NP_062659,P60122,Ruvbl1 Tip49 Tip49a,Ruvbl1
NP_001152759,P60174,TPI1 TPI,TPI1
NP_035995,P60335,Pcbp1,Pcbp1
NP_066299,P60660,MYL6,MYL6
NP_001092,P60709,ACTB,ACTB
NP_031419,P60710,Actb,Actb
NP_001034236,P60762,Morf4l1 Mrg15 Tex189,Morf4l1
NP_062507,P60840,Ensa,Ensa
NP_001407,P60842,EIF4A1 DDX2A EIF4A,EIF4A1
NP_659207,P60843,Eif4a1 Ddx2a Eif4a,Eif4a1
NP_001139699,P60866,RPS20,RPS20
NP_080423,P60867,Rps20,Rps20
NP_002782,P60900,PSMA6 PROS27,PSMA6
NP_002957,P60903,S100A10 ANX2LG CAL1L CLP11,S100A10
NP_006861,P60981,DSTN ACTDP DSN,DSTN
NP_005361,P61006,RAB8A MEL RAB8,RAB8A
NP_001238965,P61020,RAB5B,RAB5B
NP_803130,P61021,Rab5b,Rab5b
NP_057215,P61026,RAB10,RAB10
NP_057885,P61027,Rab10,Rab10
NP_775589,P61028,Rab8b,Rab8b
NP_079632,P61079,Ube2d3,Ube2d3
NP_003960,P61081,UBE2M UBC12,UBE2M
NP_663553,P61082,Ube2m Ubc-rs2 Ubc12,Ube2m
NP_005330,P61086,UBE2K HIP2 LIG,UBE2K
NP_058066,P61087,Ube2k Hip2,Ube2k
NP_003339,P61088,UBE2N BLU,UBE2N
NP_542127,P61089,Ube2n Blu,Ube2n
NP_057406,P61106,RAB14,RAB14
NP_005712,P61158,ACTR3 ARP3,ACTR3
NP_001005386,P61160,ACTR2 ARP2,ACTR2
NP_666355,P61161,Actr2 Arp2,Actr2
NP_002931,P61221,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ABCE1
NP_056566,P61222,Abce1 Rli,Abce1
NP_000997,P61247,RPS3A FTE1 MFTL,RPS3A
NP_000978,P61254,RPL26,RPL26
NP_033106,P61255,Rpl26,Rpl26
NP_002939,P61313,RPL15 EC45 TCBAP0781,RPL15
NP_002148,P61604,HSPE1,HSPE1
NP_003363,P61758,VBP1 PFDN3,VBP1
NP_000988,P61927,RPL37,RPL37
NP_008868,P61956,SUMO2 SMT3B SMT3H2,SUMO2
NP_579932,P61957,Sumo2 Smt3b Smt3h2,Sumo2
NP_060058,P61964,WDR5 BIG3,WDR5
NP_543124,P61965,Wdr5 Big Big3,Wdr5
NP_112553,P61978,HNRNPK HNRPK,HNRNPK
NP_079555,P61979,Hnrnpk Hnrpk,Hnrnpk
NP_036611,P61981,YWHAG,YWHAG
NP_061359,P61982,Ywhag,Ywhag
NP_001002,P62081,RPS7,RPS7
NP_035430,P62082,Rps7,Rps7
NP_001008709,P62136,PPP1CA PPP1A,PPP1CA
NP_114074,P62137,Ppp1ca Ppp1a,Ppp1ca
NP_002700,P62140,PPP1CB,PPP1CB
NP_766295,P62141,Ppp1cb,Ppp1cb
NP_002796,P62195,PSMC5 SUG1,PSMC5
NP_032976,P62196,Psmc5 Sug1,Psmc5
NP_001003,P62241,RPS8 OK/SW-cl.83,RPS8
NP_033124,P62242,Rps8,Rps8
NP_001010,P62244,RPS15A OK/SW-cl.82,RPS15A
NP_733769,P62245,Rps15a,Rps15a
NP_001011,P62249,RPS16,RPS16
NP_006752,P62258,YWHAE,YWHAE
NP_033562,P62259,Ywhae,Ywhae
NP_005608,P62263,RPS14 PRO2640,RPS14
NP_065625,P62264,Rps14,Rps14
NP_001016,P62266,RPS23,RPS23
NP_077137,P62267,Rps23,Rps23
NP_072045,P62269,RPS18 D6S218E,RPS18
NP_035426,P62270,Rps18,Rps18
NP_001008,P62277,RPS13,RPS13
NP_001006,P62280,RPS11,RPS11
NP_038753,P62281,Rps11,Rps11
NP_080809,P62301,Rps13,Rps13
NP_003087,P62308,SNRPG PBSCG,SNRPG
NP_080782,P62309,Snrpg,Snrpg
NP_009011,P62312,LSM6,LSM6
NP_084421,P62313,Lsm6,Lsm6
NP_066932,P62328,TMSB4X TB4X THYB4 TMSB4,TMSB4X
NP_002797,P62333,PSMC6 SUG2,PSMC6
NP_080235,P62334,Psmc6 Sug2,Psmc6
NP_000963,P62424,RPL7A SURF-3 SURF3,RPL7A
NP_034728,P62482,Kcnab2 Ckbeta2 I2rf5 Kcnb3,Kcnab2
NP_031932,P62631,Eef1a2 Eef1al Stn,Eef1a2
NP_001120664,P62633,CNBP RNF163 ZNF9,CNBP
NP_084027,P62717,Rpl18a,Rpl18a
NP_001135417,P62736,ACTA2 ACTSA ACTVS GIG46,ACTA2
NP_031418,P62737,Acta2 Actsa Actvs,Acta2
NP_000975,P62750,RPL23A,RPL23A
NP_997406,P62751,Rpl23a,Rpl23a
NP_001001,P62753,RPS6 OK/SW-cl.2,RPS6
NP_033122,P62754,Rps6,Rps6
NP_032124,P62774,Mtpn Gcdp,Mtpn
NP_003529,P62805,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4,H4C1
NP_291074,P62806,H4c1 Hist1h4a; H4c2 H4-53 Hist1h4b; H4c3 H4-12 Hist1h4c; H4c4 Hist1h4d; H4c6 Hist1h4f; H4c8 Hist1h4h; H4c9 Hist1h4i; H4c11 Hist1h4j; H4c12 Hist1h4k; Hist1h4m; H4c14 Hist2h4 Hist2h4a; H4c16 H4f16 Hist4h4,H4c1
NP_003516,P62807,H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI,H2BC4
NP_004152,P62820,RAB1A RAB1,RAB1A
NP_033022,P62821,Rab1A Rab1,Rab1A
NP_076341,P62823,Rab3c,Rab3c
NP_006316,P62826,RAN ARA24 OK/SW-cl.81,RAN
NP_033417,P62827,Ran Rasl2-8,Ran
NP_000969,P62829,RPL23,RPL23
NP_075029,P62830,Rpl23,Rpl23
NP_001009,P62841,RPS15 RIG,RPS15
NP_033117,P62843,Rps15 Rig,Rps15
NP_001135757,P62847,RPS24,RPS24
NP_997517,P62849,Rps24,Rps24
NP_001019,P62851,RPS25,RPS25
NP_077228,P62852,Rps25,Rps25
NP_001988,P62861,FAU,FAU
NP_032016,P62862,Fau,Fau
NP_055063,P62877,RBX1 RNF75 ROC1,RBX1
NP_062686,P62878,Rbx1,Rbx1
NP_031834,P62897,Cycs,Cycs
NP_009035,P62906,RPL10A NEDD6,RPL10A
NP_036182,P62908,Rps3,Rps3
NP_000985,P62910,RPL32 PP9932,RPL32
NP_742083,P62911,Rpl32,Rpl32
NP_000966,P62913,RPL11,RPL11
NP_066953,P62937,PPIA CYPA,PPIA
NP_035202,P62962,Pfn1,Pfn1
NP_038524,P62965,Crabp1,Crabp1
NP_001129064,P62979,RPS27A UBA80 UBCEP1,RPS27A
NP_077239,P62983,Rps27a Uba80 Ubcep1,Rps27a
NP_001029102,P62987,UBA52 UBCEP2,UBA52
NP_001159871,P63011,Rab3a,Rab3a
NP_112442,P63017,Hspa8 Hsc70 Hsc73,Hspa8
NP_033455,P63028,Tpt1 Trt,Tpt1
NP_001158143,P63037,Dnaja1 Dnaj2 Hsj2 Hspf4,Dnaja1
NP_034607,P63038,Hspd1 Hsp60,Hspd1
NP_062649,P63042,Stmn4,Stmn4
NP_031943,P63073,Eif4e,Eif4e
NP_038664,P63087,Ppp1cc,Ppp1cc
NP_001240735,P63101,Ywhaz,Ywhaz
NP_003397,P63104,YWHAZ,YWHAZ
NP_001171062,P63151,PPP2R2A,PPP2R2A
NP_034569,P63158,Hmgb1 Hmg-1 Hmg1,Hmgb1
NP_003343,P63165,SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43,SUMO1
NP_033486,P63166,Sumo1 Smt3c Smt3h3 Ubl1,Sumo1
NP_001032583,P63167,DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,DYNLL1
NP_062656,P63168,Dynll1 Dlc1 Dncl1 Dnclc1,Dynll1
NP_000990,P63173,RPL38,RPL38
NP_005265,P63218,GNG5 GNGT5,GNG5
NP_001137232,P63241,EIF5A,EIF5A
NP_001160064,P63242,Eif5a,Eif5a
NP_006089,P63244,RACK1 GNB2L1 HLC7 PIG21,RACK1
NP_000882,P63252,KCNJ2 IRK1,KCNJ2
NP_031789,P63254,Crip1 Crip,Crip1
NP_033739,P63260,Actg1 Actg,Actg1
NP_001605,P63261,ACTG1 ACTG,ACTG1
NP_001606,P63267,ACTG2 ACTA3 ACTL3 ACTSG,ACTG2
NP_033740,P63268,Actg2 Acta3 Actsg,Actg2
NP_066926,P63313,TMSB10 PTMB10 THYB10,TMSB10
NP_035425,P63323,Rps12,Rps12
NP_080239,P63325,Rps10,Rps10
NP_062284,P63330,Ppp2ca,Ppp2ca
NP_002706,P67775,PPP2CA,PPP2CA
NP_032857,P67778,Phb1 Phb,Phb1
NP_001138632,P67936,TPM4,TPM4
NP_005150,P68032,ACTC1 ACTC,ACTC1
NP_033738,P68033,Actc1 Actc,Actc1
NP_001243284,P68036,UBE2L3 UBCE7 UBCH7,UBE2L3
NP_033482,P68037,Ube2l3 Ubce7,Ube2l3
NP_032169,P68040,Rack1 Gnb2-rs1 Gnb2l1,Rack1
NP_001393,P68104,EEF1A1 EEF1A EF1A LENG7,EEF1A1
NP_001091,P68133,ACTA1 ACTA,ACTA1
NP_033736,P68134,Acta1 Acta,Acta1
NP_035869,P68254,Ywhaq,Ywhaq
NP_006073,P68363,TUBA1B,TUBA1B
NP_005991,P68366,TUBA4A TUBA1,TUBA4A
NP_033473,P68368,Tuba4a Tuba4,Tuba4a
NP_035783,P68369,Tuba1a Tuba1,Tuba1a
NP_006079,P68371,TUBB4B TUBB2C,TUBB4B
NP_666228,P68372,Tubb4b Tubb2c,Tubb4b
NP_033474,P68373,Tuba1c Tuba6,Tuba1c
NP_002563,P68402,PAFAH1B2 PAFAHB,PAFAH1B2
NP_003520,P68431,H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,H3C1
NP_835513,P68433,H3c1 H3a Hist1h3a; H3c8 H3.1-221 H3g Hist1h3g; H3c10 H3.1-291 H3h Hist1h3h; H3c11 H3.1-I H3i Hist1h3i,H3c1
NP_035868,P68510,Ywhah,Ywhah
NP_035317,P70195,Psmb7 Mmc14,Psmb7
NP_032714,P70255,Nfic,Nfic
NP_001075451,P70257,Nfix,Nfix
NP_032255,P70288,Hdac2 Yy1bp,Hdac2
NP_033409,P70318,Tial1,Tial1
NP_063921,P70333,Hnrnph2 Hnrph2,Hnrnph2
NP_001106879,P70662,Ldb1 Nli,Ldb1
NP_001106670,P70670,Naca Gm1878,Naca
NP_783594,P70696,H2bc1 Hist1h2ba Th2b,H2bc1
NP_001035111,P78324,SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP,SIRPA
NP_001409,P78344,EIF4G2 DAP5 OK/SW-cl.75,EIF4G2
NP_001098016,P78346,RPP30 RNASEP2,RPP30
NP_127492,P78347,GTF2I BAP135 WBSCR6,GTF2I
NP_003550,P78356,PIP4K2B PIP5K2B,PIP4K2B
NP_001310,P78368,CSNK1G2 CK1G2,CSNK1G2
NP_006422,P78371,CCT2 99D8.1 CCTB,CCT2
NP_002273,P78385,KRT83 KRTHB3,KRT83
NP_002274,P78386,KRT85 KRTHB5,KRT85
NP_001265562,P78413,IRX4 IRXA3,IRX4
NP_004823,P78417,GSTO1 GSTTLP28,GSTO1
NP_008835,P78527,PRKDC HYRC HYRC1,PRKDC
NP_004424,P78545,ELF3 ERT ESX JEN,ELF3
NP_002519,P78549,NTHL1 NTH1 OCTS3,NTHL1
NP_005942,P80294,MT1H,MT1H
NP_005943,P80297,MT1X,MT1X
NP_031664,P80313,Cct7 Ccth,Cct7
NP_031662,P80314,Cct2 Cctb,Cct2
NP_033967,P80315,Cct4 Cctd,Cct4
NP_033968,P80317,Cct6a Cct6 Cctz Cctz1,Cct6a
NP_033966,P80318,Cct3 Cctg,Cct3
NP_034704,P81066,Irx2 Irx6 Irxa2,Irx2
NP_064576,P82650,MRPS22 C3orf5 RPMS22 GK002,MRPS22
NP_149073,P82979,SARNP HCC1 HSPC316,SARNP
NP_116246,P83111,LACTB MRPL56 UNQ843/PRO1781,LACTB
NP_000977,P83731,RPL24,RPL24
NP_081013,P83870,Phf5a,Phf5a
NP_066357,P83881,RPL36A RPL44 GIG15 MIG6,RPL36A
NP_063918,P83882,Rpl36a Rpl44,Rpl36a
NP_001120700,P83916,CBX1 CBX,CBX1
NP_031648,P83917,Cbx1 Cbx,Cbx1
NP_005893,P84022,SMAD3 MADH3,SMAD3
NP_033809,P84091,Ap2m1 Clapm1,Ap2m1
NP_001186804,P84101,SERF2 FAM2C,SERF2
NP_035484,P84102,Serf2,Serf2
NP_835587,P84228,H3c2 H3-53 H3.2 H3b Hist1h3b; H3c3 H3-143 Hist1h3c; H3c4 H3-B Hist1h3d; H3c6 H3-F Hist1h3e; H3c7 H3.2-221 H3f Hist1h3f; H3c13 H3.2-616 Hist2h3b; H3c14 H3.2-615 Hist2h3c1 Hist2h3ca1; H3c15 H3.2-614 Hist2h3c2 Hist2h3ca2,H3c2
NP_005315,P84243,H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B,H3-3A
NP_032236,P84244,H3-3a H3.3a H3f3a; H3-3b H3.3b H3f3b,H3-3a
NP_035254,P84444,Ccl21a Scya21 Scya21a,Ccl21a
NP_001156405,P86048,Rpl10l,Rpl10l
NP_035465,P86792,Ccl21b Scya21 Scya21b,Ccl21b
NP_035465,P86793,Ccl21c Scya21c,Ccl21c
NP_032593,P97311,Mcm6 Mcmd6 Mis5,Mcm6
NP_035289,P97313,Prkdc Xrcc7,Prkdc
NP_031817,P97315,Csrp1 Crp1 Csrp,Csrp1
NP_001159878,P97329,Kif20a Rab6kifl,Kif20a
NP_058655,P97351,Rps3a Rps3a1,Rps3a
NP_035319,P97371,Psme1,Psme1
NP_035320,P97372,Psme2 Pa28b1,Psme2
NP_038499,P97429,Anxa4 Anx4,Anxa4
NP_001070830,P97447,Fhl1,Fhl1
NP_033121,P97461,Rps5,Rps5
NP_032566,P97471,Smad4 Dpc4 Madh4,Smad4
NP_033237,P97496,Smarcc1 Baf155 Srg3,Smarcc1
NP_061209,P97762,rp9 Rp9h,rp9
NP_034339,P97807,Fh Fh1,Fh
NP_032892,P97823,Lypla1 Apt1 Pla1a,Lypla1
NP_034797,P97861,Krt86 Krt2-10 Krthb6,Krt86
NP_001106680,P97863,Nfib,Nfib
NP_034452,P98192,Gnpat Dhapat,Gnpat
NP_035785,P99024,Tubb5,Tubb5
NP_080296,P99027,Rplp2,Rplp2
NP_079917,P99028,Uqcrh,Uqcrh
NP_036151,P99029,Prdx5 Prdx6,Prdx5
NP_061820,P99999,CYCS CYC,CYCS
NP_005879,Q00325,SLC25A3 PHC OK/SW-cl.48,SLC25A3
NP_005327,Q00341,HDLBP HBP VGL,HDLBP
NP_004926,Q00535,CDK5 CDKN5 PSSALRE,CDK5
NP_005850,Q00577,PURA PUR1,PURA
NP_004850,Q00610,CLTC CLH17 CLTCL2 KIAA0034,CLTC
NP_033822,Q00623,Apoa1,Apoa1
NP_002004,Q00688,FKBP3 FKBP25,FKBP3
NP_114032,Q00839,HNRNPU C1orf199 HNRPU SAFA U21.1,HNRNPU
NP_001241647,Q00872,MYBPC1 MYBPCS,MYBPC1
NP_033273,Q00898,Serpina1e Dom5 Spi1-5,Serpina1e
NP_003119,Q01082,SPTBN1 SPTB2,SPTBN1
NP_001029097,Q01085,TIAL1,TIAL1
NP_003002,Q01105,SET,SET
NP_003007,Q01130,SRSF2 SFRS2,SRSF2
NP_001745,Q01196,RUNX1 AML1 CBFA2,RUNX1
NP_001435,Q01469,FABP5,FABP5
NP_006358,Q01518,CAP1 CAP,CAP1
NP_056932,Q01546,KRT76 KRT2B KRT2P,KRT76
NP_032731,Q01768,Nme2,Nme2
NP_001001998,Q01780,EXOSC10 PMSCL PMSCL2 RRP6,EXOSC10
NP_001096123,Q01804,OTUD4 HIN-1 KIAA1046,OTUD4
NP_002618,Q01813,PFKP PFKF,PFKP
NP_053733,Q01844,EWSR1 EWS,EWSR1
NP_033529,Q01853,Vcp,Vcp
NP_003177,Q01995,TAGLN SM22 WS3-10,TAGLN
NP_005578,Q02078,MEF2A MEF2,MEF2A
NP_002532,Q02218,OGDH,OGDH
NP_005580,Q02252,ALDH6A1 MMSDH,ALDH6A1
NP_003102,Q02447,SP3,SP3
NP_005316,Q02539,H1-1 H1F1 HIST1H1A,H1-1
NP_000971,Q02543,RPL18A,RPL18A
NP_034986,Q02566,Myh6 Myhca,Myh6
NP_001116424,Q02780,Nfia,Nfia
NP_666119,Q02788,Col6a2,Col6a2
NP_000961,Q02878,RPL6 TXREB1,RPL6
NP_001059,Q02880,TOP2B,TOP2B
NP_005091,Q02952,AKAP12 AKAP250,AKAP12
NP_000841,Q03013,GSTM4,GSTM4
NP_005925,Q03111,MLLT1 ENL LTG19 YEATS1,MLLT1
NP_001184033,Q03164,KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,KMT2A
NP_001076590,Q03173,Enah Mena Ndpp1,Enah
NP_116126,Q03252,LMNB2 LMN2,LMNB2
NP_031531,Q03265,Atp5f1a Atp5a1,Atp5f1a
NP_033155,Q03517,Scg2 Chgc Scg-2,Scg2
NP_005751,Q03701,CEBPZ CBF2,CEBPZ
NP_001172111,Q03958,Pfdn6 H2-Ke2 Pfd6,Pfdn6
NP_997646,Q03989,ARID5A MRF1,ARID5A
NP_068810,Q04206,RELA NFKB3,RELA
NP_000413,Q04695,KRT17,KRT17
NP_001098662,Q04726,TLE3 KIAA1547,TLE3
NP_033434,Q04750,Top1 Top-1,Top1
NP_006699,Q04760,GLO1,GLO1
NP_035577,Q04886,Sox8 Sox-8,Sox8
NP_035578,Q04887,Sox9 Sox-9,Sox9
NP_003396,Q04917,YWHAH YWHA1,YWHAH
NP_004759,Q05519,SRSF11 SFRS11,SRSF11
NP_001949,Q05639,EEF1A2 EEF1AL STN,EEF1A2
NP_149129,Q05682,CALD1 CAD CDM,CALD1
NP_066956,Q05823,RNASEL RNS4,RNASEL
NP_060113,Q05BQ5,MBTD1,MBTD1
NP_057480,Q05D32,CTDSPL2 HSPC058 HSPC129,CTDSPL2
NP_002825,Q06124,PTPN11 PTP2C SHPTP2,PTPN11
NP_002694,Q06203,PPAT GPAT,PPAT
NP_001029366,Q06265,EXOSC9 PMSCL1,EXOSC9
NP_006254,Q06323,PSME1 IFI5111,PSME1
NP_005340,Q06330,RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH,RBPJ
NP_859048,Q06830,PRDX1 PAGA PAGB TDPX2,PRDX1
NP_033579,Q07230,Zscan2 Zfp-29 Zfp29,Zscan2
NP_006550,Q07666,KHDRBS1 SAM68,KHDRBS1
NP_035251,Q07832,Plk1 Plk,Plk1
NP_001123579,Q07866,KLC1 KLC KNS2,KLC1
NP_001154930,Q08024,Cbfb Pebp2b Pebpb2,Cbfb
NP_005617,Q08170,SRSF4 SFRS4 SRP75,SRSF4
NP_001348,Q08211,DHX9 DDX9 LKP NDH2,DHX9
NP_004477,Q08379,GOLGA2,GOLGA2
NP_032838,Q08642,Padi2 Pad2 Pdi Pdi2,Padi2
NP_001129553,Q08943,Ssrp1,Ssrp1
NP_003137,Q08945,SSRP1 FACT80,SSRP1
NP_060225,Q08J23,NSUN2 SAKI TRM4,NSUN2
NP_002477,Q09161,NCBP1 CBP80 NCBP,NCBP1
NP_001420,Q09472,EP300 P300,EP300
NP_001611,Q09666,AHNAK PM227,AHNAK
NP_001122106,Q0P5Y3,Tppp2 Gm77,Tppp2
NP_001364,Q0VDD8,DNAH14 C1orf67,DNAH14
NP_796199,Q0VE29,Samd12,Samd12
NP_001093144,Q0VG62,Rbis,Rbis
NP_037423,Q10570,CPSF1 CPSF160,CPSF1
NP_055975,Q10713,PMPCA INPP5E KIAA0123 MPPA,PMPCA
NP_032968,Q11011,Npepps Psa,Npepps
NP_001229326,Q12792,TWF1 PTK9,TWF1
NP_004975,Q12840,KIF5A NKHC1,KIF5A
NP_001138984,Q12857,NFIA KIAA1439,NFIA
NP_000101,Q12882,DPYD,DPYD
NP_001135452,Q12888,TP53BP1,TP53BP1
NP_001135888,Q12904,AIMP1 EMAP2 SCYE1,AIMP1
NP_004506,Q12905,ILF2 NF45 PRO3063,ILF2
NP_060090,Q12906,ILF3 DRBF MPHOSPH4 NF90,ILF3
NP_057376,Q12931,TRAP1 HSP75,TRAP1
NP_066267,Q12955,ANK3,ANK3
NP_054829,Q12972,PPP1R8 ARD1 NIPP1,PPP1R8
NP_001317,Q12996,CSTF3,CSTF3
NP_001389,Q13011,ECH1,ECH1
NP_006809,Q13015,MLLT11 AF1Q,MLLT11
NP_003291,Q13114,TRAF3 CAP-1 CRAF1 TRAFAMN,TRAF3
NP_006074,Q13123,IK RED RER,IK
NP_031401,Q13148,TARDBP TDP43,TARDBP
NP_006796,Q13151,HNRNPA0 HNRPA0,HNRNPA0
NP_001122092,Q13153,PAK1,PAK1
NP_006294,Q13155,AIMP2 JTV1 PRO0992,AIMP2
NP_006397,Q13162,PRDX4,PRDX4
NP_002568,Q13177,PAK2,PAK2
NP_057671,Q13185,CBX3,CBX3
NP_003155,Q13190,STX5 STX5A,STX5
NP_001245218,Q13228,SELENBP1 SBP,SELENBP1
NP_005753,Q13263,TRIM28 KAP1 RNF96 TIF1B,TRIM28
NP_001186791,Q13303,KCNAB2 KCNA2B KCNK2,KCNAB2
NP_001129125,Q13310,PABPC4 APP1 PABP4,PABPC4
NP_036552,Q13325,IFIT5 ISG58 RI58,IFIT5
NP_003471,Q13361,MFAP5 MAGP2,MFAP5
NP_004508,Q13418,ILK ILK1 ILK2,ILK
NP_004783,Q13427,PPIG,PPIG
NP_001128715,Q13428,TCOF1,TCOF1
NP_055706,Q13442,PDAP1 HASPP28,PDAP1
NP_004108,Q13451,FKBP5 AIG6 FKBP51,FKBP5
NP_005350,Q13485,SMAD4 DPC4 MADH4,SMAD4
NP_006212,Q13526,PIN1,PIN1
NP_004955,Q13547,HDAC1 RPD3L1,HDAC1
NP_001211,Q13554,CAMK2B CAM2 CAMK2 CAMKB,CAMK2B
NP_001191421,Q13555,CAMK2G CAMK CAMK-II CAMKG,CAMK2G
NP_001212,Q13557,CAMK2D CAMKD,CAMK2D
NP_003896,Q13564,NAE1 APPBP1 HPP1,NAE1
NP_036377,Q13573,SNW1 SKIIP SKIP,SNW1
NP_001185707,Q13617,CUL2,CUL2
NP_001244127,Q13618,CUL3 KIAA0617,CUL3
NP_003579,Q13620,CUL4B KIAA0695,CUL4B
NP_003304,Q13630,GFUS SDR4E1 TSTA3,GFUS
NP_001153174,Q13642,FHL1 SLIM1,FHL1
NP_001106674,Q13765,NACA HSD48,NACA
NP_003669,Q13769,THOC5 C22orf19 KIAA0983,THOC5
NP_001123910,Q13813,SPTAN1 NEAS SPTA2,SPTAN1
NP_001689,Q13825,AUH,AUH
NP_004631,Q13838,DDX39B BAT1 UAP56,DDX39B
NP_001060,Q13885,TUBB2A TUBB2,TUBB2A
NP_004499,Q13907,IDI1,IDI1
NP_001746,Q13951,CBFB,CBFB
NP_003709,Q14004,CDK13 CDC2L CDC2L5 CHED KIAA1791,CDK13
NP_066972,Q14019,COTL1 CLP,COTL1
NP_005685,Q14061,COX17,COX17
NP_112738,Q14103,HNRNPD AUF1 HNRPD,HNRNPD
NP_009077,Q14119,VEZF1 DB1 ZNF161,VEZF1
NP_056016,Q14137,BOP1 KIAA0124,BOP1
NP_055944,Q14141,SEPTIN6 KIAA0128 SEP2 SEPT6,SEPTIN6
NP_055464,Q14151,SAFB2 KIAA0138,SAFB2
